id,categorie,subject,urgence,synthese
129,Demande de support utilisateur,Demande de support pour un logiciel spécifique,Faible,"Demande de support pour un logiciel spécifique. Pas d'urgence, mais une réponse pourra être utile pour l'utilisateur."
130,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,Le client rencontre des difficultés pour se connecter au réseau Wi-Fi de l'entreprise. Il a vérifié ses paramètres de connexion et ils semblent corrects. Il est nécessaire de résoudre ce problème pour qu'il puisse continuer à travailler.
131,Demande administrative,Demande de renseignement sur les formations disponibles,Faible,Demande de renseignement sur les formations disponibles. Pas d'urgence.
132,Problème technique informatique,Panne du serveur principal,Critique,"Email concernant une panne du serveur principal de l'entreprise, affectant toutes les opérations et les commandes des clients. Il est essentiel de résoudre ce problème immédiatement pour minimiser les pertes. Catégorie : Problème technique informatique, Urgence : Critique."
133,Problème technique informatique,Problème de sécurité avec un ordinateur portable,Critique,Problème de sécurité avec un ordinateur portable. Les informations confidentielles sont en jeu. Il est nécessaire d'envoyer quelqu'un pour sécuriser l'ordinateur et récupérer les données le plus rapidement possible.
134,Bug ou dysfonctionnement d'un service,Bug dans l'application de gestion de projet,Élevée,"Email concernant un bug dans l'application de gestion de projet, nécessitant une intervention rapide pour résoudre le problème."
135,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,Le client a un problème de connexion au réseau Wi-Fi de l'entreprise. Il a vérifié ses paramètres et est sûr d'avoir saisi le mot de passe correctement. Il demande de l'aide pour résoudre ce problème.
136,Demande de support utilisateur,Demande d'information sur les formations disponibles,Faible,Demande d'information sur les formations professionnelles proposées par l'entreprise. Réponse attendue.
137,Problème technique informatique,Attaque de sécurité en cours - Données sensibles exposées,Critique,Email concernant une attaque de sécurité en cours avec exposition de données sensibles. Situation extrêmement urgente.
138,Problème technique informatique,Problème de serveur - Accès aux données bloqué,Critique,"Problème critique de serveur bloquant l'accès aux données, nécessitant une intervention rapide pour résoudre le problème et éviter d'affecter la production."
139,Bug ou dysfonctionnement d'un service,Bug sur l'application de gestion de projet,Élevée,"Le message traite d'un bug sur l'application de gestion de projet, ce qui est une demande de support utilisateur et nécessite une intervention rapide pour éviter d'impacter le travail de l'utilisateur. L'urgence est élevée."
140,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,Le collègue a un problème de connexion au réseau Wi-Fi de l'entreprise. Il a vérifié ses paramètres de connexion et ils semblent corrects. Il est nécessaire de le contacter pour résoudre ce problème.
141,Demande administrative,Demande d'information sur les formations disponibles,Faible,"Demande d'information sur les formations en développement web. Fournir un catalogue des formations disponibles, leurs dates et tarifs."
142,Problème technique informatique,Panne du serveur de production – indisponibilité totale,Critique,"Le serveur de production (IP 10.0.1.5) est hors ligne depuis 2h30, rendant toutes les applications critiques inaccessibles. L'équipe réseau a tenté de redémarrer sans succès. Il y a besoin d'intervention immédiate."
143,Demande de support utilisateur,Demande d’assistance pour l’installation de la nouvelle version de l’application mobile,Élevée,L'utilisateur Sophie Lemaire a signalé des plantages lors de l'installation de la mise à jour 2.3.0 de l'application mobile. Les logs indiquent une exception NullPointer. Une solution rapide est requise.
144,Bug ou dysfonctionnement d'un service,Erreur de facturation sur le portail client,Élevée,Le client a signalé une erreur de facturation sur le portail client pour les factures de décembre. L'erreur persiste même après tentative de recalculation. Cela nécessite une action urgente.
145,Problème d’accès / authentification,Problème de connexion à l’outil de gestion de projet,Élevée,L'utilisateur Marie Curie a un problème de connexion à l'outil de gestion de projet. Il a vérifié son mot de passe mais le système affiche une erreur. Il est nécessaire de résoudre ce problème pour que l'utilisateur puisse continuer à travailler.
146,Demande administrative,Demande de mise à jour des coordonnées bancaires,Faible,Demande de mise à jour des coordonnées bancaires de notre compte fournisseur. Veuillez confirmer les démarches à suivre.
147,Problème technique informatique,Panne majeure du système de gestion des commandes,Critique,"Email concernant une panne majeure du système de gestion des commandes, nécessitant une intervention immédiate pour résoudre le problème et minimiser les pertes."
148,Problème d’accès / authentification,Problème d'accès aux données critiques,Critique,Problème d'accès aux données critiques pour un projet en cours. Il est urgent de résoudre ce problème car l'équipe ne peut plus accéder aux informations nécessaires.
149,Demande de support utilisateur,Demande de support pour un logiciel spécifique,Modérée,Demande de support pour un logiciel spécifique dans le département. L'utilisateur a des difficultés à comprendre certaines fonctionnalités et demande un contact pour obtenir de l'aide personnalisée. L'urgence est modérée.
150,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,"Le client a un problème de connexion au réseau Wi-Fi de l'entreprise. Il a déjà vérifié ses paramètres et redémarré son ordinateur, mais le problème persiste. Il demande de l'aide pour résoudre ce problème."
151,Demande de support utilisateur,Demande d'information sur les formations disponibles,Faible,Demande d'information sur les formations disponibles. Pas urgente.
152,Problème technique informatique,Perte de données sur poste de travail,Élevée,Problème technique informatique avec perte de données non sauvegardées. L'utilisateur demande une récupération de données et une vérification du système pour éviter des incidents futurs. Traiter en priorité.
153,Problème technique informatique,Serveur de fichiers hors ligne,Critique,"Le serveur de fichiers partagé est hors ligne depuis ce matin, ce qui bloque la production. Il y a besoin d'une intervention technique immédiate."
154,Problème technique informatique,Intranet lent depuis plusieurs jours,Élevée,"Problème technique sur le portail intranet, lent depuis plusieurs jours, impactant les opérations quotidiennes. Il est nécessaire de vérifier le serveur ou l'infrastructure réseau."
155,Problème d’accès / authentification,Problème de connexion à Office 365,Élevée,Le client Jean Martin a un problème de connexion à son compte Office 365 et a essayé de réinitialiser son mot de passe sans succès. Il est nécessaire de résoudre ce problème pour qu'il puisse accéder à son compte.
156,Demande administrative,Demande de mise à jour de mon profil,Faible,Demande de mise à jour des coordonnées personnelles dans le système RH. L'adresse e-mail actuelle est incorrecte.
157,Problème technique informatique,Panne totale du serveur de production après mise à jour,Critique,"Problème critique de panne totale du serveur de production après mise à jour (v2.5.1). Le serveur est inaccessible (HTTP 503, base de données indisponible) et les logs indiquent une erreur de démarrage du service MySQL. L'équipe d'infrastructure a tenté de redémarrer le serveur sans succès. Cette panne bloque la livraison des commandes clients et l'accès aux données critiques. Urgence maximale."
158,Problème technique informatique,Utilisateur ne peut pas imprimer depuis le nouveau poste,Élevée,"Un utilisateur de la salle de réunion 3 ne peut plus imprimer depuis le nouveau poste Windows 10 installé le 12 novembre. L'imprimante réseau (HP LaserJet Pro MFP M428fdw) affiche un message d'erreur « Imprimante hors ligne ». L'utilisateur a tenté de redémarrer le poste et de réinstaller le pilote, sans succès. Il est nécessaire de vérifier la configuration réseau et le service d'impression."
159,Problème technique informatique,Plantage de la plateforme de gestion des commandes en fin de journée,Élevée,"Problème technique sur la plateforme de gestion des commandes (Système X) qui a planté à 18h30 le 14 novembre, bloquant l'accès aux commandes clients et empêchant l'enregistrement de nouvelles commandes. L'équipe de développement a déjà reçu un ticket, mais aucune mise à jour n'a été communiquée. Il y a une urgence pour résoudre ce problème."
160,Problème d’accès / authentification,Erreur de connexion à l’intranet depuis le bureau de Paris,Élevée,Problème d'accès à l'intranet depuis le bureau de Paris. L'utilisateur a essayé de réinitialiser son mot de passe mais le problème persiste. Il est nécessaire de vérifier si le compte est bloqué ou si un problème réseau affecte la connexion.
161,Demande administrative,Demande de mise à jour des coordonnées bancaires,Modérée,Demande de mise à jour des coordonnées bancaires de notre compte fournisseur. Les informations actuelles ne correspondent plus à nos nouvelles coordonnées. Pouvez-vous effectuer cette mise à jour ou me guider sur la procédure à suivre ?
162,Problème technique informatique,Panne du serveur principal,Critique,Email concernant une panne du serveur principal affectant toutes les opérations de l'entreprise. L'urgence est critique car il s'agit d'un problème qui affecte les employés et les applications critiques. Il est essentiel de résoudre ce problème immédiatement pour minimiser les pertes.
163,Problème d’accès / authentification,Problème d'accès aux données confidentielles,Élevée,"Problème d'accès aux données confidentielles pour plusieurs employés, affectant directement la productivité. Il est nécessaire de résoudre ce problème rapidement."
164,Demande de support utilisateur,Demande de support pour un logiciel spécifique,Élevée,"Demande d'assistance pour résoudre un problème de génération de rapports dans un logiciel de gestion de projet. L'utilisateur a suivi les tutoriels en ligne mais le problème persiste, ce qui indique une urgence élevée."
165,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,"Le client rencontre des difficultés pour se connecter au réseau Wi-Fi de l'entreprise. Il a vérifié ses paramètres de connexion et ils semblent corrects, mais il ne parvient pas à établir une connexion stable. Il demande de l'aide pour résoudre ce problème."
166,Demande administrative,Demande d'information sur les formations disponibles,Faible,Demande d'information sur les formations disponibles
167,Problème technique informatique,Incident majeur : perte de données sur le serveur de sauvegarde,Critique,"Email concernant une perte de données sur le serveur de sauvegarde, nécessitant une action urgente."
168,Problème technique informatique,Panne du serveur de base de données principale,Critique,Email de Lucie Bernard concernant une panne du serveur de base de données principale (DB01) depuis 3h30. Les requêtes échouent et les applications critiques ne fonctionnent plus. Il y a besoin d'une intervention immédiate.
169,Problème d’accès / authentification,Erreur 500 lors de l'accès à la plateforme de facturation,Élevée,"Problème d'accès à la plateforme de facturation avec erreur 500, empêchant la clôture des comptes du mois. Il est nécessaire de vérifier."
170,Problème d’accès / authentification,Problème d'accès à la messagerie Outlook,Modérée,L'utilisateur Marie Lefèvre a un problème d'accès à Outlook avec un message d'erreur 'Authentification échouée'. Il est nécessaire de vérifier les informations d'identification de l'utilisateur pour résoudre le problème.
171,Demande administrative,Demande de mise à jour des coordonnées bancaires,Faible,Demande de mise à jour des coordonnées bancaires pour les factures de l'année 2025. Procédure à suivre à confirmer.
172,Bug ou dysfonctionnement d’un service,Bug critique dans le système de paiement en ligne,Critique,"Email concernant un bug critique dans le système de paiement en ligne, nécessitant une intervention immédiate."
173,Problème d’accès / authentification,Problème d'accès au système de gestion de données,Critique,Problème critique d'accès au système de gestion de données affectant plusieurs membres de l'équipe. Assistance urgente nécessaire.
174,Problème d’accès / authentification,Demande de support pour un utilisateur ayant des difficultés avec son compte,Élevée,L'utilisateur a des difficultés d'accès à son compte en oubliant son mot de passe et la procédure de réinitialisation ne fonctionne pas. Il est nécessaire de résoudre ce problème rapidement.
175,Problème d’accès / authentification,Problème mineur avec l'imprimante du bureau,Faible,"Problème mineur avec l'imprimante du bureau. L'utilisateur a déjà redémarré l'appareil, mais le problème persiste. Il demande de l'aide pour résoudre ce problème."
176,Demande de support utilisateur,Demande d'information sur les formations disponibles,Faible,Demande d'information sur les formations disponibles. Pas d'urgence.
177,Problème technique informatique,Attaque de sécurité en cours : système compromis,Critique,"Email concernant une attaque de sécurité en cours sur le système, nécessitant une intervention immédiate pour protéger les ressources. Catégorie : Problème technique informatique, urgence : Critique."
178,Problème technique informatique,Problème de serveur : accès aux données compromis,Critique,"Email concernant un problème critique de serveur avec perte d'accès aux données, impactant directement la capacité de traiter les commandes. Il est essentiel de résoudre ce problème rapidement pour minimiser les pertes."
179,Bug ou dysfonctionnement d’un service,Bug sur le logiciel de gestion de projet,Élevée,Le message traite d'un bug sur le logiciel de gestion de projet qui empêche la sauvegarde des projets. Cela a un impact sur le travail de l'utilisateur et nécessite une intervention rapide.
180,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,Le client a un problème de connexion au réseau Wi-Fi de l'entreprise. Il a vérifié ses paramètres et est certain d'utiliser le bon mot de passe. Il demande de l'aide pour résoudre ce problème.
181,Demande administrative,Demande d'information sur les formations disponibles,Faible,Demande d'information sur les formations disponibles
182,Problème technique informatique,Attaque de sécurité en cours - Données sensibles exposées,Critique,Email concernant une attaque de sécurité en cours avec exposition de données sensibles. Il est essentiel de prendre des mesures immédiates pour protéger les systèmes et les données. Une équipe doit être envoyée pour aider à contenir l'attaque et restaurer la sécurité.
183,Problème technique informatique,Problème de serveur - Impact sur la production,Critique,Email concernant un problème critique de serveur avec impact sur la production. Il est nécessaire d'envoyer quelqu'un pour résoudre ce problème le plus rapidement possible.
184,Bug ou dysfonctionnement d'un service,Bug sur le site web de l'entreprise,Élevée,"Le sujet du message indique un bug sur le site web de l'entreprise, ce qui est une urgence élevée car il empêche l'accès aux informations sur les produits. Il est donc nécessaire de traiter ce problème le plus rapidement possible."
185,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,Le collègue a un problème de connexion au réseau Wi-Fi de l'entreprise. Il a vérifié ses paramètres et est certain d'avoir les bonnes identifiants. Il demande de l'aide pour résoudre ce problème.
186,Demande administrative,Demande d'information sur les formations disponibles,Faible,Demande d'information sur les formations disponibles
187,Problème technique informatique,Arrêt complet du serveur de production – urgence critique,Critique,"Email concernant un arrêt complet du serveur de production avec perte d'accès aux services web, base de données et API, nécessitant une intervention immédiate pour restaurer le service."
188,Problème technique informatique,Blocage du CRM – besoin d'assistance immédiate,Critique,"Problème critique avec le CRM de David Petit, nécessitant assistance immédiate"
189,Problème technique informatique,Bounce d'e-mails marketing sur le serveur de messagerie,Élevée,"L'email de Claire Martin concerne un problème technique informatique d'ordre élevé d'urgence, car il s'agit d'un problème de délivrabilité des newsletters. Il est nécessaire de vérifier la configuration du serveur ou le statut des adresses."
190,Problème d’accès / authentification,Problème d'accès à l'outil de gestion des tickets,Modérée,Le client Bernard Lemaire rencontre un problème d'accès à l'outil de gestion des tickets. Il a déjà essayé de réinitialiser son mot de passe sans succès. Il demande de réactiver son compte.
191,Demande administrative,Demande de réapprovisionnement de fournitures de bureau,Faible,Demande de réapprovisionnement de fournitures de bureau pour le département Marketing. Confirmer la disponibilité et le délai de livraison.
192,Problème technique informatique,Panne majeure du serveur principal,Critique,Email concernant une panne majeure du serveur principal avec impact significatif sur les opérations de l'entreprise. Une intervention immédiate est nécessaire pour rétablir le service.
193,Problème d’accès / authentification,Problème d'accès aux données confidentielles,Élevée,"Problème d'accès aux données confidentielles pour plusieurs employés, bloquant plusieurs projets importants. Il est nécessaire d'intervenir dès que possible pour régler cette question."
194,Demande de support utilisateur,Demande de support pour une application métier,Élevée,Demande d'aide pour résoudre un problème d'utilisation de l'application de gestion de projet. L'utilisateur ne peut pas créer de nouveaux projets malgré les instructions du manuel utilisateur.
195,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,"Le client a un problème de connexion au réseau Wi-Fi de l'entreprise. Il a vérifié ses paramètres de connexion et a constaté que tout semble correct, mais il ne parvient pas à accéder au réseau. Il demande de l'aide pour résoudre ce problème."
196,Demande administrative,Demande d'information sur les formations disponibles,Faible,"Demande d'information sur les formations en développement web. Fournir une liste des formations disponibles, leurs dates et tarifs."
197,Problème technique informatique,Panne majeure du système de gestion de production,Critique,"Email concernant une panne majeure du système de gestion de production, nécessitant une intervention d'urgence."
198,Problème d’accès / authentification,Problème d'accès aux données confidentielles,Critique,Problème d'accès aux données confidentielles urgents. Il est nécessaire de traiter cette demande en priorité pour que le utilisateur puisse retrouver l'accès à ces données le plus rapidement possible.
199,Demande de support utilisateur,Demande de support pour un logiciel spécifique,Modérée,Demande de support pour un logiciel spécifique. L'utilisateur a suivi les tutoriels en ligne mais rencontre toujours des difficultés. Il demande une assistance personnalisée.
200,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Élevée,"Problème d'accès au réseau Wi-Fi de l'entreprise, nécessitant une intervention pour résoudre le problème."
201,Demande de support utilisateur,Demande d'information sur les formations disponibles,Faible,Demande d'information sur les formations disponibles. Réponse attendue.
202,Problème technique informatique,Panne critique du serveur principal,Critique,"Email concernant une panne critique du serveur principal, nécessitant une intervention immédiate pour rétablir le service et minimiser les pertes."
203,Problème d’accès / authentification,Problème d'accès au système de gestion,Élevée,Le client a un problème d'accès au système de gestion de l'entreprise. Il reçoit toujours un message d'erreur malgré des identifiants corrects. L'urgence est élevée car cela l'empêche de travailler efficacement et il perd du temps.
204,Demande de support utilisateur,Demande de support pour un logiciel,Modérée,Demande de support pour un logiciel utilisé dans l'entreprise. L'utilisateur rencontre des difficultés pour comprendre certaines fonctionnalités et souhaite être guidé à travers les étapes nécessaires pour résoudre son problème.
205,Problème d’accès / authentification,Problème mineur avec l'imprimante,Faible,"Problème mineur avec l'imprimante de bureau. L'utilisateur a déjà redémarré l'appareil, mais le problème persiste. Il demande de l'aide pour résoudre le problème ou de savoir si quelqu'un peut venir la réparer."
206,Demande administrative,Demande d'information sur les formations disponibles,Faible,Demande d'information sur les formations disponibles
207,Problème technique informatique,Attaque de sécurité en cours : données sensibles exposées,Critique,Email concernant une attaque de sécurité en cours avec compromission de données sensibles. Il est essentiel d'agir immédiatement pour sécuriser les systèmes et prévenir toute fuite supplémentaire de données.
208,Problème d’accès / authentification,Problème de serveur : impossibilité d’accéder aux données,Critique,Problème critique d'accès aux données en raison d'un dysfonctionnement du serveur. Il est nécessaire d'intervenir rapidement pour éviter toute perte de productivité.
209,Demande de support utilisateur,Demande de réinitialisation de mot de passe,Élevée,"Demande de réinitialisation de mot de passe pour un compte professionnel, urgence élevée car le demandeur travaille sur un projet important et a besoin d'accès à ses fichiers et ressources rapidement."
210,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,Le client a un problème de connexion au réseau Wi-Fi de l'entreprise. Il a vérifié ses paramètres et est sûr que ses informations d'identification sont correctes. Il demande de l'aide pour résoudre ce problème.
211,Demande administrative,Demande de renseignement sur les formations disponibles,Faible,Demande de renseignement sur les formations disponibles. Pas d'urgence.
212,Problème technique informatique,Panne du serveur principal,Critique,Email concernant une panne du serveur principal avec des délais à respecter et des transactions en cours. L'urgence est critique.
213,Problème d’accès / authentification,Problème d'accès à une base de données,Critique,Problème urgent d'accès à une base de données essentielle pour le travail. Le compte a été désactivé et il est nécessaire de vérifier ce qui se passe et de rétablir l'accès le plus rapidement possible.
214,Demande de support utilisateur,Demande de support pour un logiciel de gestion de projet,Modérée,Demande de support pour le logiciel de gestion de projet. L'utilisateur rencontre des difficultés à créer des tâches et à attribuer des responsabilités. Il demande de l'aide supplémentaire ou d'être mis en contact avec un expert.
215,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,"Le client rencontre des difficultés à se connecter au réseau Wi-Fi de l'entreprise. Il a déjà redémarré son ordinateur portable et vérifié que le Wi-Fi est activé, mais le problème persiste. Il demande de l'aide pour résoudre ce problème."
216,Demande administrative,Demande de renseignements sur les formations disponibles,Faible,Demande de renseignements sur les formations disponibles en développement web et en cybersécurité. La demande est faible en urgence car elle ne nécessite pas d'action immédiate.
217,Problème technique informatique,Attaque de phishing en cours,Critique,"Email concernant une attaque de phishing en cours, nécessitant une intervention immédiate pour protéger les données sensibles."
218,Problème technique informatique,Problème critique avec la base de données,Critique,"Email concernant un problème critique avec la base de données, nécessitant une intervention rapide pour résoudre le problème."
219,Demande de support utilisateur,Besoin d'assistance pour la configuration d'un nouvel ordinateur,Élevée,"Demande d'assistance pour la configuration d'un nouvel ordinateur, avec difficultés dans l'installation des logiciels et la configuration du système d'exploitation. Niveau d'urgence élevé."
220,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,Le client a un problème de connexion au réseau Wi-Fi de l'entreprise. Il a vérifié ses paramètres et est sûr que ses informations d'identification sont correctes. Il demande de l'aide pour résoudre ce problème.
221,Demande administrative,Demande d'information sur les formations disponibles,Faible,Demande d'information sur les formations disponibles
222,Problème technique informatique,"Panne totale du système de gestion des ventes, arrêt complet de l’activité",Critique,"Email de Lucie Moreau concernant une panne totale du système de gestion des ventes, nécessitant une intervention immédiate."
223,Problème technique informatique,Impression des rapports PDF impossible depuis le serveur de fichiers,Élevée,Problème technique avec les imprimantes réseau qui ne peuvent plus imprimer les fichiers PDF stockés sur le serveur de fichiers. Cette panne affecte la production des rapports de conformité. Traiter en priorité.
224,Bug ou dysfonctionnement d'un service,Erreur 500 lors de la consultation des rapports mensuels,Élevée,L'utilisateur Sophie Leclerc a signalé une erreur 500 lors de la consultation des rapports mensuels via l'application web. L'erreur se produit uniquement sur le rapport de ventes. Il est nécessaire de vérifier le log serveur et de tenir informé l'utilisateur.
225,Problème d’accès / authentification,Mot de passe oublié sur le portail intranet,Élevée,Le client Jean Martin a un problème d'accès à l'intranet en raison d'un mot de passe invalide et a déjà tenté la procédure de réinitialisation sans succès. Il est nécessaire de le contacter pour résoudre ce problème.
226,Demande administrative,Demande de mise à jour des coordonnées bancaires,Faible,Demande de mise à jour des coordonnées bancaires pour le compte fournisseur N° 12345. L'utilisateur demande de recevoir la procédure à suivre et les documents nécessaires.
227,Problème technique informatique,"Panne serveur de production, indisponibilité totale",Critique,Le serveur de production hébergeant l’application client est hors service depuis 14h30. Il y a un problème de mémoire et une intervention immédiate est nécessaire pour restaurer le service.
228,Bug ou dysfonctionnement d'un service,Impression de rapports PDF impossible depuis le nouveau module,Élevée,Le nouveau module de reporting a un bug qui empêche l'impression des rapports PDF sur les imprimantes réseau. Cela bloque la production des rapports hebdomadaires et nécessite une solution rapide.
229,Bug ou dysfonctionnement d'un service,Erreur 500 sur le portail de facturation,Élevée,"L'utilisateur a signalé une erreur 500 sur le portail de facturation, ce qui est une urgence élevée car il empêche la téléchargement des factures. Il est nécessaire de vérifier la cause de l'erreur."
230,Problème d’accès / authentification,Mot de passe oublié sur l’application interne,Modérée,Le utilisateur a un problème d'accès à l'application interne en raison d'un mot de passe oublié. Il a déjà tenté de le réinitialiser mais il reçoit toujours un message d'erreur. Il est nécessaire de résoudre ce problème pour que l'utilisateur puisse accéder à l'application.
231,Demande administrative,Demande de congé maternité,Modérée,Demande de congé maternité du 1er juin au 30 juin. Informer de la procédure à suivre.
232,Problème technique informatique,Incident majeur : perte de données sur le serveur de sauvegarde,Critique,Email de Sophie Roussel concernant une perte de données critiques sur le serveur de sauvegarde pour le projet X. Il est impératif de restaurer les données et de mettre en place un plan d'urgence immédiat.
233,Problème technique informatique,Urgent : panne du serveur de messagerie interne,Critique,"Le serveur de messagerie interne est hors service depuis 2h30, causant une perte de communication critique pour les utilisateurs, notamment pour les dossiers clients. Il est nécessaire de traiter cette panne en priorité."
234,Bug ou dysfonctionnement d'un service,Bug : affichage incorrect des rapports mensuels,Élevée,Email de Caroline Boucher concernant un bug sur l'affichage des rapports mensuels de ventes. Les chiffres de la colonne 'Total HT' sont décalés de deux colonnes vers la droite. Elle demande une correction avant la réunion de fin de trimestre. Catégorie : Bug ou dysfonctionnement d'un service. Urgence : Élevée.
235,Problème d’accès / authentification,Problème d’accès à la plateforme de formation en ligne,Élevée,Le client Thomas Dupont rencontre un problème d’accès à la plateforme de formation en ligne. Il a essayé de se reconnecter plusieurs fois sans succès et le message d’erreur indique « Impossible de charger le contenu ». Il demande de vérifier si son compte est bien activé.
236,Demande administrative,Demande de mise à jour de la documentation interne,Faible,Demande de mise à jour de la documentation interne concernant la section 'Procédure de sauvegarde'. La version actuelle est obsolète depuis le dernier audit.
237,Problème technique informatique,Attaque de sécurité en cours contre nos serveurs,Critique,"Email concernant une attaque de sécurité en cours sur les serveurs, nécessitant une intervention immédiate pour protéger les systèmes et les données sensibles."
238,Problème d'accès / authentification,Problème d'accès aux données confidentielles,Critique,Problème critique d'accès aux données confidentielles des clients. Il est essentiel de résoudre ce problème rapidement pour éviter toute perte de données ou de confidentialité.
239,Bug ou dysfonctionnement d'un service,Bug dans l'application de gestion de projet,Élevée,Le message traite d'un bug dans l'application de gestion de projet qui a un impact sur le travail et nécessite une solution rapide. Cela correspond à la catégorie 'Bug ou dysfonctionnement d'un service' et l'urgence est 'Élevée'.
240,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,"Le client a un problème de connexion au réseau Wi-Fi de l'entreprise. Il a vérifié ses paramètres et a constaté que tout semble correct, mais il ne parvient pas à accéder au réseau. Il demande de l'aide pour résoudre ce problème."
241,Demande de support utilisateur,Demande de documentation pour un nouveau projet,Faible,Demande de documentation pour un nouveau projet. Pas urgente.
242,Problème technique informatique,"Panne du serveur de messagerie, impact sur l'ensemble de l'entreprise",Critique,"Problème technique critique avec le serveur de messagerie Exchange, nécessitant une intervention immédiate."
243,Demande de support utilisateur,Demande d'installation de logiciel de gestion de projet,Élevée,Demande d'installation et de configuration du logiciel ProjectX pour le projet X. Cela est urgent pour respecter les délais.
244,Problème d’accès / authentification,Erreur 500 lors de l'accès au portail RH,Élevée,"Problème d'accès au portail RH avec erreur 500, bloquant la planification des congés. Il est nécessaire de vérifier le serveur."
245,Problème d’accès / authentification,Problème de connexion au VPN depuis le bureau,Élevée,Problème de connexion au VPN depuis le bureau avec erreur d'authentification. L'utilisateur a déjà redémarré le routeur sans résultat.
246,Demande administrative,Demande de mise à jour de coordonnées personnelles,Faible,Demande de mise à jour de coordonnées personnelles. Pas d'urgence.
247,Problème technique informatique,Panne du serveur principal,Critique,Email concernant une panne du serveur principal hébergeant des données critiques. L'urgence est critique car toutes les opérations sont à l'arrêt et une intervention immédiate est nécessaire pour minimiser les pertes et restaurer le service le plus rapidement possible.
248,Bug ou dysfonctionnement d'un service,Bug sur le site web de l'entreprise,Critique,Le sujet du courrier indique un bug sur le site web de l'entreprise qui affecte directement les ventes et la réputation. Il est donc urgent de résoudre ce problème.
249,Problème d’accès / authentification,Accès refusé au système de gestion de projet,Modérée,"Le client a des difficultés d'accès au système de gestion de projet en ligne. Il a vérifié ses identifiants et est certain que tout est correct, mais il reçoit toujours un message d'erreur. Il est nécessaire de résoudre ce problème d'accès."
250,Problème technique informatique,Problème mineur avec l'imprimante du bureau,Faible,Email concernant un problème mineur avec l'imprimante du bureau. Il s'agit d'un problème technique informatique de faible urgence.
251,Demande de support utilisateur,Demande de renseignements sur les formations disponibles,Faible,Demande de renseignements sur les formations proposées par l'entreprise. Le demandeur souhaite recevoir un catalogue des cours actuellement disponibles.
252,Problème technique informatique,Attaque de phishing en cours : sécurité compromise,Critique,"Email concernant une attaque de phishing en cours sur les systèmes de sécurité, nécessitant une intervention immédiate pour stopper l'attaque et protéger les données sensibles. Contacter l'équipe de sécurité pour résoudre le problème le plus rapidement possible."
253,Problème technique informatique,Problème de serveur : impossibilité d'accéder aux données,Critique,"Problème critique de serveur de données, nécessitant une intervention immédiate pour éviter des pertes financières importantes."
254,Bug ou dysfonctionnement d'un service,Bug dans l'application de gestion de projet,Élevée,"Email concernant un bug dans l'application de gestion de projet, avec perte de travail. L'urgence est élevée car il s'agit d'un problème technique informatique qui nécessite une intervention rapide."
255,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Élevée,Le client a un problème de connexion au réseau Wi-Fi de l'entreprise. Il est en déplacement et a besoin d'accéder à internet pour travailler. Il est donc nécessaire de résoudre ce problème d'urgence.
256,Demande de support utilisateur,Demande de renseignement sur les formations disponibles,Faible,Demande de renseignements sur les formations disponibles en développement web et cybersécurité. Demandeur souhaite recevoir un lien vers le site web ou un document répertoriant les offres de formation.
257,Problème technique informatique,Attaque de phishing en cours contre nos employés,Critique,"Email concernant une attaque de phishing en cours contre les employés, nécessitant une action immédiate pour protéger les systèmes et les données."
258,Problème d’accès / authentification,Problème d’accès aux données confidentielles,Critique,Problème de sécurité : plusieurs employés ont accès à des données confidentielles sans en avoir la permission. Il est essentiel de résoudre ce problème immédiatement pour éviter toute fuite de données.
259,Bug ou dysfonctionnement d’un service,Bug dans l’application de gestion de projet,Élevée,"Le message traite d'un bug dans l'application de gestion de projet, ce qui est une demande de support utilisateur et nécessite une action rapide pour résoudre le problème, car il affecte le travail de l'utilisateur."
260,Problème d’accès / authentification,Problème de connexion au réseau Wi-Fi,Modérée,"Le client rencontre des difficultés pour se connecter au réseau Wi-Fi de l'entreprise. Il a déjà redémarré son ordinateur et vérifié que son mot de passe est correct, mais le problème persiste. Il demande de l'aide pour résoudre ce problème."
261,Demande administrative,Demande d'information sur les formations disponibles,Faible,Demande d'information sur les formations disponibles
262,Problème technique informatique,Attaque de sécurité en cours : nécessité d'intervention immédiate,Critique,"Email concernant une attaque de sécurité en cours et nécessitant une intervention immédiate. Catégorie : Problème technique informatique, urgence : Critique."
